ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Np Likeness Score;Molecular Species;Molecular Formula;Smiles;Inchi Key;Inchi;Withdrawn Flag;Orphan;Records Key;Records Name;
tetrahydro-2H-2-pyranyloxy)-4,6,8,10,12,14-hexamethyl-2-oxacyclotetradecane-1,7-dione', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin A', 'erythromycin', 'erythomycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'erythromycin A', 'Erythromycin', 'erythromycin A', 'erythromycin', 'erythromycin', 'Erythromycin', '(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', 'erythromycin', 'Erythromycin', 'Erythromycin A', 'erythromycin', 'Erythromycin A', '(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', '6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', 'Erythromycin', 'erythromycin A', 'erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'SID49675035', 'erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin A', 'erythromycin', 'erythromycin', 'erythromycin A', 'Erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', '(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', 'Erythromycin', '6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', '(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', 'Erythromycin', 'ERYTHROMYCINE', 'erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin A', 'Erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin A', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'SID144205422', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycinA', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin A', 'Erythromycin A', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin A', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', '6-O-arylpropargyl-9-oxime ketolide', 'ERYTHROMYCIN', 'Erythromycin', '6-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'C0088495', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', None, 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin A', 'Erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'SID144204864', 'SID144210833', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', 'erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erthromycin', 'Erythromycin A', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin A', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin A', '(-)-Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycine', 'ERYTHROMYCIN', 'ERYTHROMYCIN', 'ERYTHROMYCIN', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'Erythromycin', 'ERYTHROMYCIN', 'Erythromycin', 'Erythromycin'];
CHEMBL4583618;;;Unknown;;446.58;2;3;4.70;76.14;6;2;0;10;N;0.37;None;8.50;4.69;3.56;4;MOL;-1;32;6;2;0;446.1776;-1.53;BASE;C25H26N4O2S;CCCOc1ncnc2scc(C(=O)NCc3ccc(CNCc4ccccc4)cc3)c12;UZYOQDUSVLESNU-UHFFFAOYSA-N;InChI=1S/C25H26N4O2S/c1-2-12-31-24-22-21(16-32-25(22)29-17-28-24)23(30)27-15-20-10-8-19(9-11-20)14-26-13-18-6-4-3-5-7-18/h3-11,16-17,26H,2,12-15H2,1H3,(H,27,30);FALSE;-1;['40'];['N-(4-((Benzylamino)methyl)benzyl)-4-propoxythieno[2,3-d]-pyrimidine-5-carboxamide'];xxxxx
CHEMBL4564647;;;Unknown;;516.71;7;7;6.28;78.09;5;2;2;14;N;0.19;9.78;9.04;5.79;4.49;4;MOL;-1;37;6;2;2;516.2559;-1.22;BASE;C30H36N4O2S;CCCCCCCCN(Cc1ccccc1)Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;YUXAAGUHWJFEGN-UHFFFAOYSA-N;InChI=1S/C30H36N4O2S/c1-2-3-4-5-6-10-17-34(19-24-11-8-7-9-12-24)20-25-15-13-23(14-16-25)18-31-28(35)26-21-37-30-27(26)29(36)32-22-33-30/h7-9,11-16,21-22H,2-6,10,17-20H2,1H3,(H,31,35)(H,32,33,36);FALSE;-1;['20'];['N-(4-((Benzyl(octyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide'];
CHEMBL4456048;;;Unknown;;398.49;2;3;2.46;76.58;7;1;0;6;N;0.69;None;6.94;2.25;2.12;3;MOL;-1;28;7;1;0;398.1413;-1.98;NEUTRAL;C20H22N4O3S;COc1ncnc2scc(C(=O)NCc3ccc(CN4CCOCC4)cc3)c12;RIMSQILFGBJDSY-UHFFFAOYSA-N;InChI=1S/C20H22N4O3S/c1-26-19-17-16(12-28-20(17)23-13-22-19)18(25)21-10-14-2-4-15(5-3-14)11-24-6-8-27-9-7-24/h2-5,12-13H,6-11H2,1H3,(H,21,25);FALSE;-1;['45'];['4-Methoxy-N-(4-(morpholinomethyl)benzyl)thieno[2,3-d]-pyrimidine-5-carboxamide'];
CHEMBL2431997;;;Small molecule;;397.50;12;36;1.84;104.11;6;3;0;5;N;0.61;9.53;10.24;-0.03;-2.19;3;MOL;-1;28;7;4;0;397.1572;-1.59;BASE;C20H23N5O2S;NC1CCN(Cc2ccc(CNC(=O)c3csc4nc[nH]c(=O)c34)cc2)CC1;ONQHIHGODGGUGU-UHFFFAOYSA-N;InChI=1S/C20H23N5O2S/c21-15-5-7-25(8-6-15)10-14-3-1-13(2-4-14)9-22-18(26)16-11-28-20-17(16)19(27)23-12-24-20/h1-4,11-12,15H,5-10,21H2,(H,22,26)(H,23,24,27);FALSE;-1;['51', 'AZ51'];['N-(4-((4-aminopiperidin-1-yl)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide', 'N-[[4-[(4-amino-1-piperidyl)methyl]phenyl]methyl]-4-oxo-3H-thieno[2,3-d]pyrimidine-5-carboxamide'];
CHEMBL4447065;;;Unknown;;421.95;12;15;1.74;112.90;6;4;0;9;N;0.42;9.80;10.39;0.00;-3.83;3;MOL;-1;27;7;5;0;385.1572;-1.17;BASE;C19H24ClN5O2S;Cl.NCCCCNCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;PZOFIJKYWLRCHE-UHFFFAOYSA-N;"InChI=1S/C19H23N5O2S.ClH/c20-7-1-2-8-21-9-13-3-5-14(6-4-13)10-22-17(25)15-11-27-19-16(15)18(26)23-12-24-19;/h3-6,11-12,21H,1-2,7-10,20H2,(H,22,25)(H,23,24,26);1H";FALSE;-1;['34'];['N-(4-(((4-Aminobutyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide hydrochloride'];
CHEMBL4578960;;;Unknown;;440.61;2;3;5.08;76.14;6;2;1;13;N;0.36;None;9.60;5.19;3.02;3;MOL;-1;31;6;2;1;440.2246;-1.23;BASE;C24H32N4O2S;CCCCCCCCNCc1ccc(CNC(=O)c2csc3ncnc(OC)c23)cc1;DZNFWLNRLLFPIR-UHFFFAOYSA-N;InChI=1S/C24H32N4O2S/c1-3-4-5-6-7-8-13-25-14-18-9-11-19(12-10-18)15-26-22(29)20-16-31-24-21(20)23(30-2)27-17-28-24/h9-12,16-17,25H,3-8,13-15H2,1-2H3,(H,26,29);FALSE;-1;['42'];['N-(4-((Octylamino)methyl)benzyl)-4-methoxythieno[2,3-d]-pyrimidine-5-carboxamide'];
CHEMBL4547571;;;Unknown;;467.46;12;15;0.95;166.41;9;5;0;6;N;0.26;9.55;0.28;-0.09;-0.09;4;MOL;-1;33;11;5;1;467.0900;-0.88;NEUTRAL;C21H17N5O6S;O=C(NCc1ccc(CNC(=O)c2cc(=O)c(O)cn2O)cc1)c1csc2nc[nH]c(=O)c12;SNGVPWMEHVBZGP-UHFFFAOYSA-N;InChI=1S/C21H17N5O6S/c27-15-5-14(26(32)8-16(15)28)19(30)23-7-12-3-1-11(2-4-12)6-22-18(29)13-9-33-21-17(13)20(31)24-10-25-21/h1-5,8-10,28,32H,6-7H2,(H,22,29)(H,23,30)(H,24,25,31);FALSE;-1;['53'];['N-(4-((1,5-Dihydroxy-4-oxo-1,4-dihydropyridine-2-carboxamido)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]-pyrimidine-5-carboxamide'];
CHEMBL4446167;;;Unknown;;580.62;12;15;1.63;195.51;10;6;2;12;N;0.11;9.57;0.28;0.22;0.22;4;MOL;-1;41;13;6;3;580.1740;-0.85;NEUTRAL;C27H28N6O7S;O=C(CCCCCNC(=O)c1cc(=O)c(O)cn1O)NCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;ZUFOMMQJIVWSPK-UHFFFAOYSA-N;InChI=1S/C27H28N6O7S/c34-20-10-19(33(40)13-21(20)35)25(38)28-9-3-1-2-4-22(36)29-11-16-5-7-17(8-6-16)12-30-24(37)18-14-41-27-23(18)26(39)31-15-32-27/h5-8,10,13-15,35,40H,1-4,9,11-12H2,(H,28,38)(H,29,36)(H,30,37)(H,31,32,39);FALSE;-1;['57'];['N-(4-(((5-(1,5-Dihydroxy-4-oxo-1,4-dihydropyridine-2-carboxamido)pentyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide'];
CHEMBL4437560;;;Unknown;;464.04;12;15;2.91;112.90;6;4;0;12;N;0.33;9.80;10.39;1.33;-2.51;3;MOL;-1;30;7;5;0;427.2042;-1.01;BASE;C22H30ClN5O2S;Cl.NCCCCCCCNCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;NOVDEBDWDYOZMD-UHFFFAOYSA-N;"InChI=1S/C22H29N5O2S.ClH/c23-10-4-2-1-3-5-11-24-12-16-6-8-17(9-7-16)13-25-20(28)18-14-30-22-19(18)21(29)26-15-27-22;/h6-9,14-15,24H,1-5,10-13,23H2,(H,25,28)(H,26,27,29);1H";FALSE;-1;['32'];['N-(4-(((7-Aminohexyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide hydrochloride'];
CHEMBL4459299;;;Unknown;;468.67;1;2;5.86;76.14;6;2;1;15;N;0.27;None;9.60;6.07;3.90;3;MOL;-1;33;6;2;1;468.2559;-1.32;BASE;C26H36N4O2S;CCCCCCCCNCc1ccc(CNC(=O)c2csc3ncnc(OCCC)c23)cc1;CKFUOJIZJDNAHA-UHFFFAOYSA-N;InChI=1S/C26H36N4O2S/c1-3-5-6-7-8-9-14-27-16-20-10-12-21(13-11-20)17-28-24(31)22-18-33-26-23(22)25(29-19-30-26)32-15-4-2/h10-13,18-19,27H,3-9,14-17H2,1-2H3,(H,28,31);FALSE;-1;['43'];['N-(4-((Octylamino)methyl)benzyl)-4-propoxythieno[2,3-d]-pyrimidine-5-carboxamide'];
CHEMBL4448124;;;Unknown;;488.66;6;6;5.50;78.09;5;2;1;12;N;0.26;9.78;9.04;4.90;3.60;4;MOL;-1;35;6;2;1;488.2246;-1.29;BASE;C28H32N4O2S;CCCCCCN(Cc1ccccc1)Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;PCVHPNWKBHKTKP-UHFFFAOYSA-N;InChI=1S/C28H32N4O2S/c1-2-3-4-8-15-32(17-22-9-6-5-7-10-22)18-23-13-11-21(12-14-23)16-29-26(33)24-19-35-28-25(24)27(34)30-20-31-28/h5-7,9-14,19-20H,2-4,8,15-18H2,1H3,(H,29,33)(H,30,31,34);FALSE;-1;['18'];['N-(4-((Benzyl(hexyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide'];
CHEMBL4442893;;;Unknown;;482.01;12;15;1.00;131.36;8;4;0;13;N;0.29;9.67;9.24;-0.37;-3.22;3;MOL;-1;31;9;5;0;445.1784;-1.21;BASE;C21H28ClN5O4S;Cl.NCCOCCOCCNCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;PXZONYKKMPYQJQ-UHFFFAOYSA-N;"InChI=1S/C21H27N5O4S.ClH/c22-5-7-29-9-10-30-8-6-23-11-15-1-3-16(4-2-15)12-24-19(27)17-13-31-21-18(17)20(28)25-14-26-21;/h1-4,13-14,23H,5-12,22H2,(H,24,27)(H,25,26,28);1H";FALSE;-1;['31'];['N-(4-(((2-(2-(2-Aminoethoxy)ethoxy)ethyl)amino)methyl)-benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide hydrochloride'];
CHEMBL4439772;;;Unknown;;370.48;7;7;2.76;78.09;5;2;0;7;N;0.67;9.85;9.21;1.63;0.15;3;MOL;-1;26;6;2;0;370.1463;-1.77;BASE;C19H22N4O2S;CCN(CC)Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1;SNPTXDKRQKLKGA-UHFFFAOYSA-N;InChI=1S/C19H22N4O2S/c1-3-23(4-2)10-14-7-5-13(6-8-14)9-20-17(24)15-11-26-19-16(15)18(25)21-12-22-19/h5-8,11-12H,3-4,9-10H2,1-2H3,(H,20,24)(H,21,22,25);FALSE;-1;['11'];['N-(4-((Diethylamino)methyl)benzyl)-4-oxo-3,4-dihydrothieno-[2,3-d]pyrimidine-5-carboxamide'];
